,renda_mensal,quantidade_de_cheques_sem_fundo,valor_dos_restritivos,quantidade_de_protestos,valor_dos_protestos,modelo_score_1,modelo_score_2,modelo_score_3,modelo_score_4,id_do_cliente,tipo_de_score,compromentimento_da_renda,response
8769,0.06164867939611966,0,0.0,1.0,131.0,223,265,282,809,246154915,1,25,BOM
7368,0.013190665067798174,5,1.3310344827586207,1.0,1114.0,133,127,250,711,245180619,1,25,BOM
8223,0.012637210589429015,0,0.0,0.0,0.0,968,713,848,846,527482885,4,25,BOM
5962,0.010023675552685789,0,0.0,13.0,12984.0,117,595,606,660,37168423,1,25,BOM
1162,0.045414014697291144,0,0.0,0.0,0.0,75,541,143,652,907945473,1,25,BOM
3957,0.4248378070903668,0,0.0,0.0,0.0,743,695,829,899,445520234,4,25,MAU
4544,0.07536205147126648,0,0.0,0.0,0.0,325,634,287,629,87344667,2,25,BOM
554,0.013190665067798174,0,0.0,0.0,0.0,308,615,295,571,107074161,2,25,BOM
7590,0.10352673492605234,0,0.0,0.0,0.0,705,608,433,704,783844520,4,25,MAU
4479,0.0038434338775635707,16,0.0,0.0,0.0,216,438,441,615,1080761226,1,25,BOM
9530,0.07536205147126648,0,0.0,0.0,0.0,430,635,427,725,282691015,2,25,BOM
760,0.014359068966577494,0,0.0,0.0,0.0,573,628,480,795,470121208,3,25,BOM
1344,0.04403037850136826,0,0.0,0.0,0.0,564,574,539,768,454410685,3,25,BOM
5001,0.0714878701226824,0,0.0,0.0,0.0,887,669,833,829,580216656,4,25,BOM
5933,0.0001229898840820337,0,0.0,0.0,0.0,1,1,1,1,144340983,1,25,BOM
1425,0.1034037450419703,0,0.0,0.0,0.0,539,672,625,706,687267429,3,25,BOM
7376,0.0063954739722657805,0,9.944827586206896,1.0,7908.0,140,262,266,624,861422839,1,100,BOM
9912,0.003781938935522554,0,0.0,0.0,0.0,436,642,158,533,475358049,2,25,BOM
4337,0.07536205147126648,0,0.0,0.0,0.0,724,670,659,733,275018434,4,25,BOM
2823,0.07342496079697444,0,28.46206896551724,0.0,0.0,286,218,329,675,770326163,1,100,BOM
417,0.04261599483442487,0,0.0,0.0,0.0,884,667,769,741,116451760,4,25,BOM
6008,0.00959321095839867,0,0.0,0.0,0.0,802,687,757,799,1020233087,4,25,BOM
9099,0.004058666174707126,0,0.0,0.0,0.0,620,619,695,690,7574182,3,25,BOM
3344,0.07151861759370291,0,0.0,0.0,0.0,858,690,771,763,218996414,4,25,BOM
